"","idx","injseq","source_plate","well384","well96","cell","drug","conc","quadrant"
"30",14996,"178","P1","A10","A5","SW620","BPTES","1.10e+00",2
"31",22207,"115","P1","A10","A5","MALME3M","BPTES","1.10e+00",2
"32",8512,"189","P1","A10","A5","HT29","BPTES","1.10e+00",2
"33",29594,"146","P1","A10","A5","SKMEL2","BPTES","1.10e+00",2
"34",20628,"138","P1","A10","A5","A498","BPTES","  1.1000",2
"35",14997,"178","P1","A10","A5","SW620","BPTES","1.10e+00",2
"36",3597,"168","P1","A10","A5","T47D","BPTES","  1.1000",2
"37",31201,"133","P1","A10","A5","SF539","BPTES","1.10e+00",2
"38",23901,"148","P1","A10","A5","ACHN","BPTES","1.10e+00",2
"39",22206,"115","P1","A10","A5","MALME3M","BPTES","1.10e+00",2
"40",10949,"183","P1","A10","A5","OVCAR5","BPTES","  1.1000",2
"41",20629,"138","P1","A10","A5","A498","BPTES","  1.1000",2
"42",8513,"189","P1","A10","A5","HT29","BPTES","1.10e+00",2
"43",28692," 96","P1","A11","A6","HCT15","MEDICA 16","  0.0110",1
"44",5079,"100","P1","A11","A6","HOP62","MEDICA 16","  0.0110",1
"45",3393," 66","P1","A11","A6","T47D","MEDICA 16","  0.0110",1
"46",70," 35","P1","A11","A6","LOXIMVI","MEDICA 16","1.10e-02",1
"47",29351," 24","P1","A11","A6","SKMEL2","MEDICA 16","1.10e-02",1
"48",29350," 24","P1","A11","A6","SKMEL2","MEDICA 16","1.10e-02",1
"49",14751," 55","P1","A11","A6","SW620","MEDICA 16","1.10e-02",1
"50",23697," 46","P1","A11","A6","ACHN","MEDICA 16","1.10e-02",1
"51",33434," 26","P1","A11","A6","BT549","MEDICA 16","1.10e-02",1
"52",6620," 59","P1","A11","A6","EKVX","MEDICA 16","1.10e-02",1
"53",3392," 66","P1","A11","A6","T47D","MEDICA 16","  0.0110",1
"54",26115," 31","P1","A11","A6","IGROV1","MEDICA 16","1.10e-02",1
"55",16398," 63","P1","A11","A6","OVCAR4","MEDICA 16","1.10e-02",1
"56",16399," 63","P1","A11","A6","OVCAR4","MEDICA 16","1.10e-02",1
"57",14750," 55","P1","A11","A6","SW620","MEDICA 16","1.10e-02",1
"58",8335,"100","P1","A11","A6","HT29","MEDICA 16","1.10e-02",1
"59",8334,"100","P1","A11","A6","HT29","MEDICA 16","1.10e-02",1
"60",24617," 98","P1","A11","A6","HS578T","MEDICA 16","1.10e-02",1
"61",20531," 89","P1","A11","A6","A498","MEDICA 16","  0.0110",1
"62",10764," 91","P1","A11","A6","OVCAR5","MEDICA 16","  0.0110",1
"63",13064," 28","P1","A11","A6","UACC257","MEDICA 16","1.10e-02",1
"64",28693," 96","P1","A11","A6","HCT15","MEDICA 16","  0.0110",1
"65",18844," 62","P1","A11","A6","M14","MEDICA 16","1.10e-02",1
"66",23696," 46","P1","A11","A6","ACHN","MEDICA 16","1.10e-02",1
"67",20530," 89","P1","A11","A6","A498","MEDICA 16","  0.0110",1
"68",71," 35","P1","A11","A6","LOXIMVI","MEDICA 16","1.10e-02",1
"69",5078,"100","P1","A11","A6","HOP62","MEDICA 16","  0.0110",1
"70",10765," 91","P1","A11","A6","OVCAR5","MEDICA 16","  0.0110",1
"71",33435," 26","P1","A11","A6","BT549","MEDICA 16","1.10e-02",1
"72",18845," 62","P1","A11","A6","M14","MEDICA 16","1.10e-02",1
"73",11473," 44","P1","A11","A6","COLO205","MEDICA 16","  0.0110",1
"74",22013," 18","P1","A11","A6","MALME3M","MEDICA 16","1.10e-02",1
"75",11472," 44","P1","A11","A6","COLO205","MEDICA 16","  0.0110",1
"76",24616," 98","P1","A11","A6","HS578T","MEDICA 16","1.10e-02",1
"77",13065," 28","P1","A11","A6","UACC257","MEDICA 16","1.10e-02",1
"78",31049," 57","P1","A11","A6","SF539","MEDICA 16","1.10e-02",1
"79",1806," 89","P1","A11","A6","MDAMB231","MEDICA 16","1.10e-02",1
"80",31048," 57","P1","A11","A6","SF539","MEDICA 16","1.10e-02",1
"81",1807," 89","P1","A11","A6","MDAMB231","MEDICA 16","1.10e-02",1
"82",6621," 59","P1","A11","A6","EKVX","MEDICA 16","1.10e-02",1
"83",26114," 31","P1","A11","A6","IGROV1","MEDICA 16","1.10e-02",1
"84",22012," 18","P1","A11","A6","MALME3M","MEDICA 16","1.10e-02",1
"85",6789,"143","P1","A12","A6","EKVX","Erlotinib","1.10e+01",2
"86",23937,"166","P1","A12","A6","ACHN","Erlotinib","1.10e+01",2
"87",22313,"168","P1","A12","A6","MALME3M","Erlotinib","1.10e+01",2
"88",22312,"168","P1","A12","A6","MALME3M","Erlotinib","1.10e+01",2
"89",28776,"138","P1","A12","A6","HCT15","Erlotinib"," 11.0000",2
"90",31277,"171","P1","A12","A6","SF539","Erlotinib","1.10e+01",2
"91",31276,"171","P1","A12","A6","SF539","Erlotinib","1.10e+01",2
"92",20746,"197","P1","A12","A6","A498","Erlotinib"," 11.0000",2
"93",33602,"110","P1","A12","A6","BT549","Erlotinib","1.10e+01",2
"94",24717,"148","P1","A12","A6","HS578T","Erlotinib","1.10e+01",2
"95",8477,"171","P1","A12","A6","HT29","Erlotinib","1.10e+01",2
"96",24716,"148","P1","A12","A6","HS578T","Erlotinib","1.10e+01",2
"97",26425,"186","P1","A12","A6","IGROV1","Erlotinib","1.10e+01",2
"98",368,"184","P1","A12","A6","LOXIMVI","Erlotinib","1.10e+01",2
"99",5129,"125","P1","A12","A6","HOP62","Erlotinib"," 11.0000",2
"100",11625,"120","P1","A12","A6","COLO205","Erlotinib"," 11.0000",2
"101",19096,"188","P1","A12","A6","M14","Erlotinib","1.10e+01",2
"102",5128,"125","P1","A12","A6","HOP62","Erlotinib"," 11.0000",2
"103",33603,"110","P1","A12","A6","BT549","Erlotinib","1.10e+01",2
"104",26424,"186","P1","A12","A6","IGROV1","Erlotinib","1.10e+01",2
"105",13251,"121","P1","A12","A6","UACC257","Erlotinib","1.10e+01",2
"106",3600,"170","P1","A12","A6","T47D","Erlotinib"," 11.0000",2
"107",23936,"166","P1","A12","A6","ACHN","Erlotinib","1.10e+01",2
"108",1882,"127","P1","A12","A6","MDAMB231","Erlotinib","1.10e+01",2
"109",10837,"127","P1","A12","A6","OVCAR5","Erlotinib"," 11.0000",2
"110",10836,"127","P1","A12","A6","OVCAR5","Erlotinib"," 11.0000",2
"111",29577,"137","P1","A12","A6","SKMEL2","Erlotinib","1.10e+01",2
"112",369,"184","P1","A12","A6","LOXIMVI","Erlotinib","1.10e+01",2
"113",19097,"188","P1","A12","A6","M14","Erlotinib","1.10e+01",2
"114",8476,"171","P1","A12","A6","HT29","Erlotinib","1.10e+01",2
"115",20747,"197","P1","A12","A6","A498","Erlotinib"," 11.0000",2
"116",15047,"203","P1","A12","A6","SW620","Erlotinib","1.10e+01",2
"117",16635,"181","P1","A12","A6","OVCAR4","Erlotinib","1.10e+01",2
"118",3601,"170","P1","A12","A6","T47D","Erlotinib"," 11.0000",2
"119",13250,"121","P1","A12","A6","UACC257","Erlotinib","1.10e+01",2
"120",11624,"120","P1","A12","A6","COLO205","Erlotinib"," 11.0000",2
"121",15046,"203","P1","A12","A6","SW620","Erlotinib","1.10e+01",2
"122",1883,"127","P1","A12","A6","MDAMB231","Erlotinib","1.10e+01",2
"123",16634,"181","P1","A12","A6","OVCAR4","Erlotinib","1.10e+01",2
"124",29576,"137","P1","A12","A6","SKMEL2","Erlotinib","1.10e+01",2
"125",6788,"143","P1","A12","A6","EKVX","Erlotinib","1.10e+01",2
"126",28777,"138","P1","A12","A6","HCT15","Erlotinib"," 11.0000",2
"127",74," 37","P1","A13","A7","LOXIMVI","Fluorouracil","1.10e-01",1
"128",14679," 19","P1","A13","A7","SW620","Fluorouracil","1.10e-01",1
"129",26242," 95","P1","A13","A7","IGROV1","Fluorouracil","1.10e-01",1
"130",23664," 30","P1","A13","A7","ACHN","Fluorouracil","1.10e-01",1
"131",22101," 62","P1","A13","A7","MALME3M","Fluorouracil","1.10e-01",1
"132",11454," 35","P1","A13","A7","COLO205","Fluorouracil","  0.1100",1
"133",8333," 99","P1","A13","A7","HT29","Fluorouracil","1.10e-01",1
"134",4900," 11","P1","A13","A7","HOP62","Fluorouracil","  0.1100",1
"135",1641,"  6","P1","A13","A7","MDAMB231","Fluorouracil","1.10e-01",1
"136",29503,"100","P1","A13","A7","SKMEL2","Fluorouracil","1.10e-01",1
"137",18870," 75","P1","A13","A7","M14","Fluorouracil","1.10e-01",1
"138",10729," 73","P1","A13","A7","OVCAR5","Fluorouracil","  0.1100",1
"139",8332," 99","P1","A13","A7","HT29","Fluorouracil","1.10e-01",1
"140",6551," 24","P1","A13","A7","EKVX","Fluorouracil","1.10e-01",1
"141",26243," 95","P1","A13","A7","IGROV1","Fluorouracil","1.10e-01",1
"142",6550," 24","P1","A13","A7","EKVX","Fluorouracil","1.10e-01",1
"143",10728," 73","P1","A13","A7","OVCAR5","Fluorouracil","  0.1100",1
"144",11455," 35","P1","A13","A7","COLO205","Fluorouracil","  0.1100",1
"145",33540," 79","P1","A13","A7","BT549","Fluorouracil","1.10e-01",1
"146",29502,"100","P1","A13","A7","SKMEL2","Fluorouracil","1.10e-01",1
"147",3335," 37","P1","A13","A7","T47D","Fluorouracil","  0.1100",1
"148",75," 37","P1","A13","A7","LOXIMVI","Fluorouracil","1.10e-01",1
"149",24477," 28","P1","A13","A7","HS578T","Fluorouracil","1.10e-01",1
"150",31031," 48","P1","A13","A7","SF539","Fluorouracil","1.10e-01",1
"151",16369," 48","P1","A13","A7","OVCAR4","Fluorouracil","1.10e-01",1
"152",31030," 48","P1","A13","A7","SF539","Fluorouracil","1.10e-01",1
"153",4901," 11","P1","A13","A7","HOP62","Fluorouracil","  0.1100",1
"154",20478," 63","P1","A13","A7","A498","Fluorouracil","  0.1100",1
"155",33541," 79","P1","A13","A7","BT549","Fluorouracil","1.10e-01",1
"156",1640,"  6","P1","A13","A7","MDAMB231","Fluorouracil","1.10e-01",1
"157",24476," 28","P1","A13","A7","HS578T","Fluorouracil","1.10e-01",1
"158",13157," 74","P1","A13","A7","UACC257","Fluorouracil","1.10e-01",1
"159",16368," 48","P1","A13","A7","OVCAR4","Fluorouracil","1.10e-01",1
"160",13156," 74","P1","A13","A7","UACC257","Fluorouracil","1.10e-01",1
"161",22100," 62","P1","A13","A7","MALME3M","Fluorouracil","1.10e-01",1
"162",20479," 63","P1","A13","A7","A498","Fluorouracil","  0.1100",1
"163",18871," 75","P1","A13","A7","M14","Fluorouracil","1.10e-01",1
"164",28677," 88","P1","A13","A7","HCT15","Fluorouracil","  0.1100",1
"165",28676," 88","P1","A13","A7","HCT15","Fluorouracil","  0.1100",1
"166",14678," 19","P1","A13","A7","SW620","Fluorouracil","1.10e-01",1
"167",23665," 30","P1","A13","A7","ACHN","Fluorouracil","1.10e-01",1
"168",3334," 37","P1","A13","A7","T47D","Fluorouracil","  0.1100",1
"169",24680,"130","P1","A14","A7","HS578T","Pemetrexed","1.10e+01",2
"170",24681,"130","P1","A14","A7","HS578T","Pemetrexed","1.10e+01",2
"171",22250,"137","P1","A14","A7","MALME3M","Pemetrexed","1.10e+01",2
"172",22251,"137","P1","A14","A7","MALME3M","Pemetrexed","1.10e+01",2
"173",20695,"171","P1","A14","A7","A498","Pemetrexed"," 11.0000",2
"174",14975,"167","P1","A14","A7","SW620","Pemetrexed","1.10e+01",2
"175",16649,"188","P1","A14","A7","OVCAR4","Pemetrexed","1.10e+01",2
"176",26338,"143","P1","A14","A7","IGROV1","Pemetrexed","1.10e+01",2
"177",14974,"167","P1","A14","A7","SW620","Pemetrexed","1.10e+01",2
"178",31250,"158","P1","A14","A7","SF539","Pemetrexed","1.10e+01",2
"179",28848,"174","P1","A14","A7","HCT15","Pemetrexed"," 11.0000",2
"180",26339,"143","P1","A14","A7","IGROV1","Pemetrexed","1.10e+01",2
"181",6721,"109","P1","A14","A7","EKVX","Pemetrexed","1.10e+01",2
"182",1951,"161","P1","A14","A7","MDAMB231","Pemetrexed","1.10e+01",2
"183",13270,"131","P1","A14","A7","UACC257","Pemetrexed","1.10e+01",2
"184",6720,"109","P1","A14","A7","EKVX","Pemetrexed","1.10e+01",2
"185",1950,"161","P1","A14","A7","MDAMB231","Pemetrexed","1.10e+01",2
"186",13271,"131","P1","A14","A7","UACC257","Pemetrexed","1.10e+01",2
"187",20694,"171","P1","A14","A7","A498","Pemetrexed"," 11.0000",2
"188",5227,"174","P1","A14","A7","HOP62","Pemetrexed"," 11.0000",2
"189",31251,"158","P1","A14","A7","SF539","Pemetrexed","1.10e+01",2
"190",8514,"190","P1","A14","A7","HT29","Pemetrexed","1.10e+01",2
"191",28849,"174","P1","A14","A7","HCT15","Pemetrexed"," 11.0000",2
"192",33735,"176","P1","A14","A7","BT549","Pemetrexed","1.10e+01",2
"193",16648,"188","P1","A14","A7","OVCAR4","Pemetrexed","1.10e+01",2
"194",231,"115","P1","A14","A7","LOXIMVI","Pemetrexed","1.10e+01",2
"195",5226,"174","P1","A14","A7","HOP62","Pemetrexed"," 11.0000",2
"196",11730,"173","P1","A14","A7","COLO205","Pemetrexed"," 11.0000",2
"197",29593,"145","P1","A14","A7","SKMEL2","Pemetrexed","1.10e+01",2
"198",11731,"173","P1","A14","A7","COLO205","Pemetrexed"," 11.0000",2
"199",29592,"145","P1","A14","A7","SKMEL2","Pemetrexed","1.10e+01",2
"200",230,"115","P1","A14","A7","LOXIMVI","Pemetrexed","1.10e+01",2
"201",8515,"190","P1","A14","A7","HT29","Pemetrexed","1.10e+01",2
"202",3645,"192","P1","A14","A7","T47D","Pemetrexed"," 11.0000",2
"203",19103,"191","P1","A14","A7","M14","Pemetrexed","1.10e+01",2
"204",23886,"141","P1","A14","A7","ACHN","Pemetrexed","1.10e+01",2
"205",23887,"141","P1","A14","A7","ACHN","Pemetrexed","1.10e+01",2
"206",10973,"195","P1","A14","A7","OVCAR5","Pemetrexed"," 11.0000",2
"207",19102,"191","P1","A14","A7","M14","Pemetrexed","1.10e+01",2
"208",33734,"176","P1","A14","A7","BT549","Pemetrexed","1.10e+01",2
"209",10972,"195","P1","A14","A7","OVCAR5","Pemetrexed"," 11.0000",2
"210",3644,"192","P1","A14","A7","T47D","Pemetrexed"," 11.0000",2
"211",28572," 36","P1","A15","A8","HCT15","Panzem-2-ME2","110.0000",1
"212",6702,"100","P1","A15","A8","EKVX","Panzem-2-ME2","1.10e+02",1
"213",1681," 26","P1","A15","A8","MDAMB231","Panzem-2-ME2","1.10e+02",1
"214",29," 14","P1","A15","A8","LOXIMVI","Panzem-2-ME2","1.10e+02",1
"215",3327," 33","P1","A15","A8","T47D","Panzem-2-ME2","110.0000",1
"216",21998," 11","P1","A15","A8","MALME3M","Panzem-2-ME2","1.10e+02",1
"217",24441," 10","P1","A15","A8","HS578T","Panzem-2-ME2","1.10e+02",1
"218",28573," 36","P1","A15","A8","HCT15","Panzem-2-ME2","110.0000",1
"219",29479," 88","P1","A15","A8","SKMEL2","Panzem-2-ME2","1.10e+02",1
"220",24440," 10","P1","A15","A8","HS578T","Panzem-2-ME2","1.10e+02",1
"221",16365," 46","P1","A15","A8","OVCAR4","Panzem-2-ME2","1.10e+02",1
"222",3326," 33","P1","A15","A8","T47D","Panzem-2-ME2","110.0000",1
"223",21999," 11","P1","A15","A8","MALME3M","Panzem-2-ME2","1.10e+02",1
"224",1680," 26","P1","A15","A8","MDAMB231","Panzem-2-ME2","1.10e+02",1
"225",18780," 30","P1","A15","A8","M14","Panzem-2-ME2","1.10e+02",1
"226",31069," 67","P1","A15","A8","SF539","Panzem-2-ME2","1.10e+02",1
"227",26158," 53","P1","A15","A8","IGROV1","Panzem-2-ME2","1.10e+02",1
"228",29478," 88","P1","A15","A8","SKMEL2","Panzem-2-ME2","1.10e+02",1
"229",23720," 58","P1","A15","A8","ACHN","Panzem-2-ME2","1.10e+02",1
"230",8260," 63","P1","A15","A8","HT29","Panzem-2-ME2","1.10e+02",1
"231",31068," 67","P1","A15","A8","SF539","Panzem-2-ME2","1.10e+02",1
"232",4910," 16","P1","A15","A8","HOP62","Panzem-2-ME2","110.0000",1
"233",10652," 35","P1","A15","A8","OVCAR5","Panzem-2-ME2","110.0000",1
"234",16364," 46","P1","A15","A8","OVCAR4","Panzem-2-ME2","1.10e+02",1
"235",8261," 63","P1","A15","A8","HT29","Panzem-2-ME2","1.10e+02",1
"236",23721," 58","P1","A15","A8","ACHN","Panzem-2-ME2","1.10e+02",1
"237",28," 14","P1","A15","A8","LOXIMVI","Panzem-2-ME2","1.10e+02",1
"238",10653," 35","P1","A15","A8","OVCAR5","Panzem-2-ME2","110.0000",1
"239",14841,"100","P1","A15","A8","SW620","Panzem-2-ME2","1.10e+02",1
"240",13028," 10","P1","A15","A8","UACC257","Panzem-2-ME2","1.10e+02",1
"241",6703,"100","P1","A15","A8","EKVX","Panzem-2-ME2","1.10e+02",1
"242",11400,"  8","P1","A15","A8","COLO205","Panzem-2-ME2","110.0000",1
"243",26159," 53","P1","A15","A8","IGROV1","Panzem-2-ME2","1.10e+02",1
"244",20489," 68","P1","A15","A8","A498","Panzem-2-ME2","110.0000",1
"245",14840,"100","P1","A15","A8","SW620","Panzem-2-ME2","1.10e+02",1
"246",18781," 30","P1","A15","A8","M14","Panzem-2-ME2","1.10e+02",1
"247",11401,"  8","P1","A15","A8","COLO205","Panzem-2-ME2","110.0000",1
"248",33451," 34","P1","A15","A8","BT549","Panzem-2-ME2","1.10e+02",1
"249",4911," 16","P1","A15","A8","HOP62","Panzem-2-ME2","110.0000",1
"250",20488," 68","P1","A15","A8","A498","Panzem-2-ME2","110.0000",1
"251",13029," 10","P1","A15","A8","UACC257","Panzem-2-ME2","1.10e+02",1
"252",33450," 34","P1","A15","A8","BT549","Panzem-2-ME2","1.10e+02",1
"253",2013,"192","P1","A16","A8","MDAMB231","Chlormethine","1.10e+01",2
"254",22317,"170","P1","A16","A8","MALME3M","Chlormethine","1.10e+01",2
"255",29657,"177","P1","A16","A8","SKMEL2","Chlormethine","1.10e+01",2
"256",5109,"115","P1","A16","A8","HOP62","Chlormethine"," 11.0000",2
"257",6785,"141","P1","A16","A8","EKVX","Chlormethine","1.10e+01",2
"258",29656,"177","P1","A16","A8","SKMEL2","Chlormethine","1.10e+01",2
"259",16558,"143","P1","A16","A8","OVCAR4","Chlormethine","1.10e+01",2
"260",26393,"170","P1","A16","A8","IGROV1","Chlormethine","1.10e+01",2
"261",26392,"170","P1","A16","A8","IGROV1","Chlormethine","1.10e+01",2
"262",3576,"158","P1","A16","A8","T47D","Chlormethine"," 11.0000",2
"263",20608,"128","P1","A16","A8","A498","Chlormethine"," 11.0000",2
"264",14932,"146","P1","A16","A8","SW620","Chlormethine","1.10e+01",2
"265",22316,"170","P1","A16","A8","MALME3M","Chlormethine","1.10e+01",2
"266",31191,"128","P1","A16","A8","SF539","Chlormethine","1.10e+01",2
"267",5108,"115","P1","A16","A8","HOP62","Chlormethine"," 11.0000",2
"268",16559,"143","P1","A16","A8","OVCAR4","Chlormethine","1.10e+01",2
"269",31190,"128","P1","A16","A8","SF539","Chlormethine","1.10e+01",2
"270",14933,"146","P1","A16","A8","SW620","Chlormethine","1.10e+01",2
"271",11746,"181","P1","A16","A8","COLO205","Chlormethine"," 11.0000",2
"272",3577,"158","P1","A16","A8","T47D","Chlormethine"," 11.0000",2
"273",13234,"113","P1","A16","A8","UACC257","Chlormethine","1.10e+01",2
"274",288,"144","P1","A16","A8","LOXIMVI","Chlormethine","1.10e+01",2
"275",10862,"140","P1","A16","A8","OVCAR5","Chlormethine"," 11.0000",2
"276",13235,"113","P1","A16","A8","UACC257","Chlormethine","1.10e+01",2
"277",20609,"128","P1","A16","A8","A498","Chlormethine"," 11.0000",2
"278",10863,"140","P1","A16","A8","OVCAR5","Chlormethine"," 11.0000",2
"279",28793,"146","P1","A16","A8","HCT15","Chlormethine"," 11.0000",2
"280",19021,"150","P1","A16","A8","M14","Chlormethine","1.10e+01",2
"281",19020,"150","P1","A16","A8","M14","Chlormethine","1.10e+01",2
"282",2012,"192","P1","A16","A8","MDAMB231","Chlormethine","1.10e+01",2
"283",289,"144","P1","A16","A8","LOXIMVI","Chlormethine","1.10e+01",2
"284",23867,"131","P1","A16","A8","ACHN","Chlormethine","1.10e+01",2
"285",24693,"136","P1","A16","A8","HS578T","Chlormethine","1.10e+01",2
"286",6784,"141","P1","A16","A8","EKVX","Chlormethine","1.10e+01",2
"287",33691,"154","P1","A16","A8","BT549","Chlormethine","1.10e+01",2
"288",24692,"136","P1","A16","A8","HS578T","Chlormethine","1.10e+01",2
"289",8465,"165","P1","A16","A8","HT29","Chlormethine","1.10e+01",2
"290",11747,"181","P1","A16","A8","COLO205","Chlormethine"," 11.0000",2
"291",33690,"154","P1","A16","A8","BT549","Chlormethine","1.10e+01",2
"292",8464,"165","P1","A16","A8","HT29","Chlormethine","1.10e+01",2
"293",23866,"131","P1","A16","A8","ACHN","Chlormethine","1.10e+01",2
"294",28792,"146","P1","A16","A8","HCT15","Chlormethine"," 11.0000",2
"295",23620,"  8","P1","A17","A9","ACHN","BPTES","1.10e-02",1
"296",24491," 35","P1","A17","A9","HS578T","BPTES","1.10e-02",1
"297",8285," 75","P1","A17","A9","HT29","BPTES","1.10e-02",1
"298",23621,"  8","P1","A17","A9","ACHN","BPTES","1.10e-02",1
"299",33547," 82","P1","A17","A9","BT549","BPTES","1.10e-02",1
"300",4951," 36","P1","A17","A9","HOP62","BPTES","  0.0110",1
"301",20413," 30","P1","A17","A9","A498","BPTES","  0.0110",1
"302",29376," 37","P1","A17","A9","SKMEL2","BPTES","1.10e-02",1
"303",13149," 70","P1","A17","A9","UACC257","BPTES","1.10e-02",1
"304",28640," 70","P1","A17","A9","HCT15","BPTES","  0.0110",1
"305",22002," 13","P1","A17","A9","MALME3M","BPTES","1.10e-02",1
"306",10699," 58","P1","A17","A9","OVCAR5","BPTES","  0.0110",1
"307",6626," 62","P1","A17","A9","EKVX","BPTES","1.10e-02",1
"308",24490," 35","P1","A17","A9","HS578T","BPTES","1.10e-02",1
"309",52," 26","P1","A17","A9","LOXIMVI","BPTES","1.10e-02",1
"310",29377," 37","P1","A17","A9","SKMEL2","BPTES","1.10e-02",1
"311",33546," 82","P1","A17","A9","BT549","BPTES","1.10e-02",1
"312",11517," 66","P1","A17","A9","COLO205","BPTES","  0.0110",1
"313",1666," 19","P1","A17","A9","MDAMB231","BPTES","1.10e-02",1
"314",3394," 67","P1","A17","A9","T47D","BPTES","  0.0110",1
"315",3395," 67","P1","A17","A9","T47D","BPTES","  0.0110",1
"316",18802," 41","P1","A17","A9","M14","BPTES","1.10e-02",1
"317",1667," 19","P1","A17","A9","MDAMB231","BPTES","1.10e-02",1
"318",31116," 91","P1","A17","A9","SF539","BPTES","1.10e-02",1
"319",22003," 13","P1","A17","A9","MALME3M","BPTES","1.10e-02",1
"320",6627," 62","P1","A17","A9","EKVX","BPTES","1.10e-02",1
"321",28641," 70","P1","A17","A9","HCT15","BPTES","  0.0110",1
"322",13148," 70","P1","A17","A9","UACC257","BPTES","1.10e-02",1
"323",4950," 36","P1","A17","A9","HOP62","BPTES","  0.0110",1
"324",53," 26","P1","A17","A9","LOXIMVI","BPTES","1.10e-02",1
"325",11516," 66","P1","A17","A9","COLO205","BPTES","  0.0110",1
"326",14767," 63","P1","A17","A9","SW620","BPTES","1.10e-02",1
"327",26137," 42","P1","A17","A9","IGROV1","BPTES","1.10e-02",1
"328",26136," 42","P1","A17","A9","IGROV1","BPTES","1.10e-02",1
"329",16314," 21","P1","A17","A9","OVCAR4","BPTES","1.10e-02",1
"330",18803," 41","P1","A17","A9","M14","BPTES","1.10e-02",1
"331",10698," 58","P1","A17","A9","OVCAR5","BPTES","  0.0110",1
"332",8284," 75","P1","A17","A9","HT29","BPTES","1.10e-02",1
"333",20412," 30","P1","A17","A9","A498","BPTES","  0.0110",1
"334",14766," 63","P1","A17","A9","SW620","BPTES","1.10e-02",1
"335",31117," 91","P1","A17","A9","SF539","BPTES","1.10e-02",1
"336",16315," 21","P1","A17","A9","OVCAR4","BPTES","1.10e-02",1
"337",3509,"124","P1","A18","A9","T47D","Panzem-2-ME2","  1.1000",2
"338",11719,"167","P1","A18","A9","COLO205","Panzem-2-ME2","  1.1000",2
"339",16585,"156","P1","A18","A9","OVCAR4","Panzem-2-ME2","1.10e+00",2
"340",10892,"155","P1","A18","A9","OVCAR5","Panzem-2-ME2","  1.1000",2
"341",19121,"200","P1","A18","A9","M14","Panzem-2-ME2","1.10e+00",2
"342",11718,"167","P1","A18","A9","COLO205","Panzem-2-ME2","  1.1000",2
"343",6732,"115","P1","A18","A9","EKVX","Panzem-2-ME2","1.10e+00",2
"344",31295,"180","P1","A18","A9","SF539","Panzem-2-ME2","1.10e+00",2
"345",6733,"115","P1","A18","A9","EKVX","Panzem-2-ME2","1.10e+00",2
"346",371,"185","P1","A18","A9","LOXIMVI","Panzem-2-ME2","1.10e+00",2
"347",24827,"203","P1","A18","A9","HS578T","Panzem-2-ME2","1.10e+00",2
"348",29524,"111","P1","A18","A9","SKMEL2","Panzem-2-ME2","1.10e+00",2
"349",33676,"147","P1","A18","A9","BT549","Panzem-2-ME2","1.10e+00",2
"350",19120,"200","P1","A18","A9","M14","Panzem-2-ME2","1.10e+00",2
"351",370,"185","P1","A18","A9","LOXIMVI","Panzem-2-ME2","1.10e+00",2
"352",20619,"133","P1","A18","A9","A498","Panzem-2-ME2","  1.1000",2
