"","drug","ionIndex","slope","r2","adj-r2","pvalue"
"199","Omacetaxine","8","0.751609029598749","0.835912224156963","0.827276025428382","6.83939429947872e-09"
"200","Paclitaxel","8","0.730599174064945","0.836764187251558","0.828172828685851","6.50643655686857e-09"
"201","Topotecan","8","1.18414619648493","0.925288449124704","0.921356262236531","3.708863698843e-12"
"202","Trametinib","8","0.642482091068203","0.86903467516355","0.862141763330052","7.89314481468755e-10"
"203","Cladribine","8","1.05128761020732","0.89119738391993","0.885470930442031","1.34105176122289e-10"
"204","Decitabine","8","1.12434341302565","0.919086168038444","0.914827545303626","7.93571050939824e-12"
"205","Lenvatinib","8","1.08897067327818","0.952248499067541","0.949735262176359","5.20980578909182e-14"
"206","Mercaptopurine","8","0.843715577374715","0.921338703353718","0.917198635109177","6.06209092683157e-12"
"207","Oxaliplatin","8","1.03089135934029","0.967458987676927","0.965746302817818","1.35343419140745e-15"
"208","YC-1","8","1.20026709183805","0.962800001196579","0.960842106522715","4.83554540820026e-15"
"209","Docetaxel","9","0.771633118645665","0.920573627134886","0.916393291720933","6.64842838994601e-12"
"210","Everolimus","9","0.779983112835609","0.968425154989951","0.966763321042054","1.01598704154582e-15"
"211","Gemcitabine","9","1.01652660539721","0.986106855685647","0.985375637563839","4.13241343765931e-19"
"212","Oligomycin A","9","0.687677665879041","0.839010221407551","0.830537075165844","5.69720484929652e-09"
"213","17-AAG","9","0.800414710603166","0.93809534364197","0.934837203833652","6.17652609453039e-13"
"214","BPTES","9","0.655632450651512","0.697418772979684","0.681493445241772","2.4803598046574e-06"
"215","Chlormethine","9","1.20162095902319","0.955878417730011","0.953556229189486","2.4540617237229e-14"
"216","Clofarabine","9","1.02799328637639","0.961365348514727","0.959331945804976","6.93204192056645e-15"
"217","Erlotinib","9","1.02794985683332","0.978375678320943","0.977237556127309","2.77393534003946e-17"
"218","Fluorouracil","9","1.07345757518803","0.971299416082153","0.969788859033845","4.09758256697354e-16"
"219","Irinotecan","9","0.935230313192692","0.973675212216512","0.972289697070013","1.80116397028162e-16"
"220","Panzem-2-ME2","9","0.994428160917247","0.947576348628827","0.944817209082976","1.2674065837822e-13"
"221","Pemetrexed","9","0.842916855357325","0.967324659116399","0.965604904333052","1.40753917712129e-15"
"222","Asparaginase","9","0.814126497064735","0.93773939604788","0.932950118820794","3.24388882549577e-09"
"223","Rapamycin","9","0.829171139794654","0.963918664711077","0.962019647064292","3.61613768147109e-15"
"224","Methotrexate","9","0.622362975216831","0.802171767624731","0.791759755394454","4.1160845072806e-08"
"225","Omacetaxine","9","0.536012918143598","0.586616523819478","0.564859498757345","5.1811205693688e-05"
"226","Paclitaxel","9","0.719946133736518","0.942200344913868","0.939158257804071","3.21224928409729e-13"
"227","Topotecan","9","0.857157720200069","0.947546008293552","0.94478527188795","1.27441051829761e-13"
"228","Trametinib","9","0.519833168221861","0.609325086150322","0.588763248579286","2.9800568609715e-05"
"229","Cladribine","9","0.951341473624318","0.939547305753841","0.936365585004043","4.92628255348399e-13"
"230","Decitabine","9","0.910239868302073","0.972139458228414","0.970673113924646","3.08885208920682e-16"
"231","Lenvatinib","9","1.1898851206116","0.973857700750811","0.972481790264012","1.68583897904016e-16"
"232","Mercaptopurine","9","0.765097574806097","0.949495174294155","0.946837025572794","8.8853303870534e-14"
"233","Oxaliplatin","9","0.823048169365009","0.963183283367868","0.961245561439861","4.38165058901167e-15"
"234","YC-1","9","0.8076677700382","0.835169324804188","0.826494026109672","7.14211384606663e-09"
"235","Docetaxel","10","0.625979931071792","0.635876538252847","0.616712145529312","1.49912579633107e-05"
"236","Everolimus","10","0.835351348228854","0.80083461092705","0.790352222028473","4.39135769857752e-08"
"237","Gemcitabine","10","0.729980034614713","0.850102111491753","0.842212748938687","2.8747034485956e-09"
"238","Oligomycin A","10","0.606246104703419","0.909199166160198","0.904420174905471","2.38413938782806e-11"
"239","17-AAG","10","0.811625053150294","0.743158787003966","0.729640828425228","5.0842307563502e-07"
"240","BPTES","10","0.910663006910159","0.761361768687067","0.74880186177586","2.50212245659258e-07"
"241","Chlormethine","10","0.543945185016211","0.720721517010131","0.706022649484348","1.14187498410551e-06"
"242","Clofarabine","10","0.716434492028716","0.851509935972001","0.843694669444211","2.626276083686e-09"
"243","Erlotinib","10","0.834059587944439","0.626721456110632","0.60707521695856","1.90991646378616e-05"
"244","Fluorouracil","10","0.699889235326942","0.838542502004243","0.830044738951835","5.85785881529047e-09"
"245","Irinotecan","10","0.548874239705059","0.657177686593489","0.639134406940515","8.33536639872775e-06"
"246","Panzem-2-ME2","10","0.483779123094448","0.451593742725909","0.422730255500957","0.000848205156792186"
"247","Pemetrexed","10","0.691088481795781","0.575204003553011","0.552846319529486","6.76767213406265e-05"
"248","Asparaginase","10","0.886354761686246","0.661495351869156","0.635456532782168","0.00022629784236923"
"249","Rapamycin","10","0.743847641105091","0.807737404992442","0.797618321044676","3.12906047389229e-08"
"250","Methotrexate","10","0.924583397494832","0.853175919624522","0.845448336446865","2.3572774467923e-09"
"251","Omacetaxine","10","0.675078578071264","0.587076750210695","0.565343947590205","5.12485640650217e-05"
"252","Paclitaxel","10","1.17250638198887","0.822454231480012","0.813109717347381","1.45672645296613e-08"
"253","Topotecan","10","1.35171274858672","0.795333556603973","0.784561638530497","5.70607267006728e-08"
"254","Trametinib","10","0.694409906316059","0.888730279548141","0.882873978471728","1.66146993802341e-10"
"255","Cladribine","10","1.83476354998966","0.783702747791502","0.772318681885791","9.70984220772633e-08"
"256","Decitabine","10","0.995311758888667","0.807443069856851","0.797308494586159","3.17537901171212e-08"
"257","Lenvatinib","10","1.14348802745054","0.853193082624093","0.845466402762203","2.35463985235764e-09"
"258","Mercaptopurine","10","0.602746869521137","0.519567401134666","0.494281474878596","0.000227524180805798"
"259","Oxaliplatin","10","1.41196338900447","0.865356746711647","0.858270259696471","1.02882530573154e-09"
"260","YC-1","10","1.09462186019218","0.818106116832171","0.80853275456018","1.8374904451949e-08"
"261","Docetaxel","11","1.05383349010479","0.983308544044896","0.982430046363049","2.3651095593952e-18"
"262","Everolimus","11","0.994859829761708","0.99518134860972","0.994927735378652","1.76032403044633e-23"
"263","Gemcitabine","11","1.01912823562522","0.996690266125366","0.996516069605648","4.96063121948956e-25"
"264","Oligomycin A","11","1.00420313184221","0.996097762147105","0.995892381207479","2.37191995695738e-24"
"265","17-AAG","11","1.03365376242936","0.986969476382369","0.986283659349862","2.24680156312388e-19"
"266","BPTES","11","1.00371541043479","0.99161529108803","0.991173990618979","3.40126974974816e-21"
"267","Chlormethine","11","0.990119893742364","0.996569289513469","0.996388725803652","6.97710465278778e-25"
"268","Clofarabine","11","1.02845292447218","0.994293410538568","0.993993063724808","8.78119402374034e-23"
"269","Erlotinib","11","0.975532875954641","0.995415844318201","0.995174572966527","1.09576626173497e-23"
"270","Fluorouracil","11","1.01601262994276","0.994874471988609","0.99460470735643","3.16502880019514e-23"
"271","Irinotecan","11","0.988759336686785","0.99460152827304","0.994317398182147","5.18188343806721e-23"
"272","Panzem-2-ME2","11","0.975442886365703","0.988275096610638","0.98765799643225","8.23579655718571e-20"
"273","Pemetrexed","11","1.00034916886916","0.995546512547041","0.99531211847057","8.32492744338576e-24"
"274","Asparaginase","11","0.989714502478079","0.995900371358821","0.995585015309499","6.61054180621332e-17"
"275","Rapamycin","11","0.993707196860295","0.996459991076404","0.996273674817267","9.3991699834075e-25"
"276","Methotrexate","11","1.03449649723585","0.996127858976621","0.995924062080653","2.20368576410221e-24"
"277","Omacetaxine","11","1.07816987984466","0.984279679156291","0.983452293848727","1.33766031757483e-18"
"278","Paclitaxel","11","1.00462185333227","0.981632888251231","0.98066619815919","5.87325701174675e-18"
"279","Topotecan","11","1.02815391566142","0.988476368606537","0.987869861691092","6.98596570700345e-20"
"280","Trametinib","11","1.02004476561237","0.989628781373797","0.989082927761891","2.56614882165573e-20"
"281","Cladribine","11","1.01706738007065","0.980124273511344","0.97907818264352","1.24411650803632e-17"
"282","Decitabine","11","1.01658991522308","0.995382548847205","0.995139525102321","1.17376872570514e-23"
"283","Lenvatinib","11","0.971781051252968","0.970976775361872","0.969449237223023","4.55737396338678e-16"
"284","Mercaptopurine","11","1.03045334952535","0.987934333414609","0.987299298331167","1.08136608804301e-19"
"285","Oxaliplatin","11","0.991544172159592","0.993008271245326","0.992640285521396","6.05038460475607e-22"
"286","YC-1","11","0.965174243238159","0.996952794350963","0.996792415106277","2.26213108126651e-25"
"287","Docetaxel","12","1.0614685668423","0.970036351929637","0.96845931782067","6.17263074693701e-16"
"288","Everolimus","12","1.01102749085607","0.979312206526579","0.978223375291136","1.82070524658143e-17"
"289","Gemcitabine","12","0.993006768698616","0.975023095670793","0.973708521758729","1.09252781934207e-16"
